n,input,hls_output,golden,err
111,0.587767,-0.000474951,-0.00045441,2.05412e-05
112,-0.951059,0.000293093,0.000280828,1.22648e-05
113,0.951055,-6.70593e-07,-3.66708e-09,6.66926e-07
114,-0.587781,-0.000294242,-0.000280863,1.33793e-05
115,-4.35487e-06,0.000474393,0.000454367,2.0026e-05
116,0.587788,-0.000474523,-0.000454426,2.00969e-05
117,-0.951057,0.000295158,0.000280821,1.43372e-05
118,0.951056,3.36228e-06,6.2515e-08,3.29976e-06
119,-0.587785,-0.000288418,-0.000280656,7.7626e-06
120,7.63192e-07,0.000481235,0.000454647,2.6588e-05
121,0.587784,-0.00046793,-0.000454126,1.38034e-05
122,-0.951056,0.000300047,0.000280928,1.91186e-05
123,0.951058,5.31911e-06,-2.53349e-07,5.57246e-06
124,-0.587789,-0.000290018,-0.00028158,8.43764e-06
125,5.88126e-06,0.000476274,0.000453103,2.3171e-05
126,0.58778,-0.000475271,-0.000456117,1.91539e-05
127,-0.951054,0.000291825,0.0002789,1.2925e-05
